"Horizon","Level","Model","F1","AUC","Prec_at_90Rec"
6,"Lv0","Persistence",0.774689662748544,0.914507818281204,0.614006024096385
6,"Lv1","Logistic",0.753453979373419,0.909129509069812,0.605884975479269
6,"Lv2","XGBoost",0.77145420113625,0.92369190092659,0.657262614863776
6,"Lv3","+Spatial",0.796641408969896,0.942548197073891,0.671774592189817
6,"Lv4","+Wind+Cluster",0.803823773898587,0.944742817029685,0.692190152801358
6,"Lv5","+ERA5 Weather",0.80557563242127,0.947212926812355,0.701600413009809
24,"Lv0","Persistence",0.555193711398091,0.765210824352562,0.349874371859296
24,"Lv1","Logistic",0.54824466159971,0.770316246746561,0.381208447399296
24,"Lv2","XGBoost",0.555454470267141,0.763565982328077,0.402830870957744
24,"Lv3","+Spatial",0.562676056338028,0.769096611997476,0.408315006806996
24,"Lv4","+Wind+Cluster",0.589860983934071,0.786223608839843,0.404125207296849
24,"Lv5","+ERA5 Weather",0.56553480475382,0.775210342717436,0.418123324396783
48,"Lv0","Persistence",0.415025611838361,0.645538115514343,0.291954552433594
48,"Lv1","Logistic",0.430104031209363,0.615215675744954,0.286111947035811
48,"Lv2","XGBoost",0.431149097815764,0.579680921950687,0.28561772437101
48,"Lv3","+Spatial",0.426478700582286,0.576171891948358,0.268687296877208
48,"Lv4","+Wind+Cluster",0.430366325610985,0.565766110474016,0.275360220114402
48,"Lv5","+ERA5 Weather",0.428012956550877,0.59960956403939,0.280167968174451
72,"Lv0","Persistence",0.394187954066089,0.589930120652148,0.265888649371887
72,"Lv1","Logistic",0.399741754990047,0.506811242326097,0.252595155709343
72,"Lv2","XGBoost",0.408787421925479,0.523138246302591,0.26050542567912
72,"Lv3","+Spatial",0.414227919928545,0.537598548903586,0.258640636297903
72,"Lv4","+Wind+Cluster",0.41313570418478,0.512747922058635,0.256857676288956
72,"Lv5","+ERA5 Weather",0.413502565487443,0.49390567317068,0.274225697638761
